Feature,Importance
Return_Lag2,0.20200454
Return_Lag1,0.17376477
RSI_14,0.16983022
Daily_Return,0.15782152
Price_VS_SMA20,0.15267293
Volatility_5,0.14390603
Momentum_5,0.0
Return_Lag3,0.0
Price_VS_SMA5,0.0
