Removed_Feature,Accuracy,Accuracy_Change
Momentum_5,0.5355325783686198,3.2578368619806675e-05
Price_VS_SMA5,0.5355325783686198,3.2578368619806675e-05
Price_VS_SMA20,0.5355325783686198,3.2578368619806675e-05
Return_Lag3,0.5356146397505334,0.00011463975053338515
Return_Lag1,0.5357787625143607,0.00027876251436076416
Volatility_5,0.5357787625143607,0.00027876251436076416
Return_Lag2,0.5362711308058428,0.0007711308058427901
RSI_14,0.5362711308058428,0.0007711308058427901
Daily_Return,0.5370917446249794,0.0015917446249794631
