Feature,Importance
Return_Lag2,0.24250704
Return_Lag3,0.20429017
Daily_Return,0.15884952
Volatility_5,0.15793727
Return_Lag1,0.12711866
RSI_14,0.10929734
Momentum_5,0.0
Price_VS_SMA5,0.0
Price_VS_SMA20,0.0
