Feature,Importance
Daily_Return,0.06856547
Return_Lag2,0.06581663
High,0.06320474
Return_Lag3,0.061751094
RSI_14,0.06108333
Close_Lag1,0.058916204
SMA_10,0.057907294
SMA_20,0.05643944
Momentum_5,0.055085756
Price_VS_SMA20,0.053807173
Return_Lag1,0.05344039
Volatility_5,0.05209824
Price_VS_SMA5,0.050648056
Close,0.047903474
Volume,0.04336832
Close_Lag2,0.038997713
Low,0.03799339
Open,0.037327625
SMA_5,0.03564565
