n_estimators,max_depth,learning_rate,train_accuracy,test_accuracy,overfitting_gap
50,2,0.01,0.5253159363203677,0.5355325783686198,-0.010216642048252123
100,4,0.05,0.5623256195634334,0.5173149515837847,0.0450106679796487
200,6,0.1,0.7355982274741507,0.5089446906285902,0.22665353684556055
300,8,0.2,0.9810027900869851,0.5078778926637124,0.4731248974232727
