Feature,Importance
Daily_Return,0.16112569
Return_Lag3,0.1330369
Return_Lag1,0.13133763
VolRation_Volume,0.1296534
Return_Volume,0.12955001
Return_Lag2,0.12225217
Volatility_Ratio,0.10553003
Volatility_Trend,0.08751427
